"","trip_id","trip_start","trip_end","individual"
"130","1107843",2014-07-16 00:01:00,2014-07-18 23:59:00,10
"131","1107844",2014-07-19 00:01:00,2014-07-19 23:59:00,10
"132","1104495",2014-12-02 00:01:00,2014-12-03 23:59:00,11
"133","1104496",2014-12-22 00:01:00,2014-12-23 23:59:00,11
"134","1104497",2013-12-31 00:01:00,2014-01-05 23:59:00,12
"135","1104498",2014-01-13 00:01:00,2014-01-16 23:59:00,12
"136","1104499",2014-01-22 00:01:00,2014-01-26 23:59:00,12
"137","1104500",2014-02-04 00:01:00,2014-02-09 23:59:00,12
"138","1104501",2014-02-20 00:01:00,2014-02-23 23:59:00,12
"139","1104502",2014-02-26 00:01:00,2014-03-02 23:59:00,12
"140","1104503",2014-03-09 00:01:00,2014-03-13 23:59:00,12
"141","1104504",2014-03-19 00:01:00,2014-03-24 23:59:00,12
"142","1104505",2014-03-30 00:01:00,2014-04-02 23:59:00,12
"143","1104506",2014-04-08 00:01:00,2014-04-13 23:59:00,12
"144","1104507",2014-04-21 00:01:00,2014-04-23 23:59:00,12
"145","1104508",2014-04-27 00:01:00,2014-04-30 23:59:00,12
"146","1104509",2014-05-04 00:01:00,2014-05-07 23:59:00,12
"147","1104510",2014-05-10 00:01:00,2014-05-13 23:59:00,12
"148","1104511",2014-05-24 00:01:00,2014-05-28 23:59:00,12
"149","1104512",2014-06-05 00:01:00,2014-06-09 23:59:00,12
"150","1104513",2014-06-14 00:01:00,2014-06-17 23:59:00,12
"151","1104514",2014-06-22 00:01:00,2014-06-25 23:59:00,12
"152","1104515",2014-07-18 00:01:00,2014-07-21 23:59:00,12
"153","1104516",2014-08-01 00:01:00,2014-08-05 23:59:00,12
"154","1104517",2014-08-09 00:01:00,2014-08-12 23:59:00,12
"155","1104518",2014-08-20 00:01:00,2014-08-25 23:59:00,12
"156","1104519",2014-08-29 00:01:00,2014-09-03 23:59:00,12
"157","1104520",2014-10-29 00:01:00,2014-11-02 22:59:00,12
"158","1104521",2014-11-09 00:01:00,2014-11-13 23:59:00,12
"159","1104522",2014-11-24 00:01:00,2014-11-26 23:59:00,12
"160","1104523",2014-12-01 00:01:00,2014-12-05 23:59:00,12
"161","1104524",2014-12-12 00:01:00,2014-12-17 23:59:00,12
"162","1104525",2014-02-03 00:01:00,2014-02-06 23:59:00,13
"163","1104526",2014-02-20 00:01:00,2014-02-24 23:59:00,13
"164","1104527",2014-03-01 00:01:00,2014-03-04 23:59:00,13
"165","1104528",2014-03-11 00:01:00,2014-03-14 23:59:00,13
"166","1104529",2014-03-20 00:01:00,2014-03-23 23:59:00,13
"167","1104530",2014-03-31 00:01:00,2014-04-03 23:59:00,13
"168","1104531",2014-07-20 00:01:00,2014-07-24 23:59:00,13
"169","1104532",2014-08-02 00:01:00,2014-08-04 23:59:00,13
"170","1104533",2014-08-04 00:01:00,2014-08-07 23:59:00,13
"171","1104534",2014-08-07 00:01:00,2014-08-09 23:59:00,13
"172","1104535",2014-08-11 00:01:00,2014-08-14 23:59:00,13
"173","1104536",2014-08-15 00:01:00,2014-08-17 23:59:00,13
"174","1104537",2014-08-20 00:01:00,2014-08-23 23:59:00,13
"175","1104538",2014-08-29 00:01:00,2014-09-02 23:59:00,13
"176","1104539",2014-09-04 00:01:00,2014-09-07 23:59:00,13
"177","1104540",2014-09-11 00:01:00,2014-09-13 23:59:00,13
"178","1104541",2014-09-18 00:01:00,2014-09-20 23:59:00,13
"179","1104542",2014-09-26 00:01:00,2014-09-29 23:59:00,13
"180","1104543",2014-10-02 00:01:00,2014-10-03 23:59:00,13
"181","1104544",2014-10-04 00:01:00,2014-10-05 23:59:00,13
"182","1104545",2014-10-07 00:01:00,2014-10-09 23:59:00,13
"183","1104546",2014-10-09 00:01:00,2014-10-10 23:59:00,13
"184","1104547",2014-10-11 00:01:00,2014-10-11 23:59:00,13
"185","1104548",2014-10-26 00:01:00,2014-10-28 23:59:00,13
"186","1104549",2014-10-29 00:01:00,2014-10-31 23:59:00,13
"187","1104550",2014-10-31 00:01:00,2014-11-01 23:59:00,13
"188","1104551",2014-11-02 00:01:00,2014-11-02 22:59:00,13
"189","1104552",2014-11-07 00:01:00,2014-11-09 23:59:00,13
"190","1104553",2014-01-29 00:01:00,2014-02-02 23:59:00,14
"191","1104554",2014-02-05 00:01:00,2014-02-06 23:59:00,14
"192","1104555",2014-02-10 00:01:00,2014-02-11 23:59:00,14
"193","1104556",2014-02-22 00:01:00,2014-02-25 23:59:00,14
"194","1104557",2014-02-28 00:01:00,2014-03-02 23:59:00,14
"195","1104558",2014-03-10 00:01:00,2014-03-11 23:59:00,14
"196","1104559",2014-03-15 00:01:00,2014-03-18 23:59:00,14
"197","1104560",2014-03-22 00:01:00,2014-03-25 23:59:00,14
"198","1104561",2014-03-29 00:01:00,2014-03-30 23:59:00,14
"199","1104562",2014-05-02 00:01:00,2014-05-04 23:59:00,14
"200","1104945",2014-07-02 00:01:00,2014-07-03 23:59:00,15
"201","1104946",2014-07-04 00:01:00,2014-07-06 23:59:00,15
"202","1104947",2014-07-06 00:01:00,2014-07-08 23:59:00,15
"203","1104948",2014-07-09 00:01:00,2014-07-10 23:59:00,15
"204","1104949",2014-07-11 00:01:00,2014-07-13 23:59:00,15
"205","1104950",2014-07-14 00:01:00,2014-07-16 23:59:00,15
"206","1104951",2014-07-16 00:01:00,2014-07-18 23:59:00,15
"207","1104952",2014-07-19 00:01:00,2014-07-20 23:59:00,15
"208","1104953",2014-07-20 00:01:00,2014-07-21 23:59:00,15
"209","1104954",2014-07-22 00:01:00,2014-07-23 23:59:00,15
"210","1104955",2014-07-24 00:01:00,2014-07-25 23:59:00,15
"211","1104956",2014-07-25 00:01:00,2014-07-26 23:59:00,15
"212","1104902",2014-07-28 00:01:00,2014-07-28 23:59:00,3
"213","1104903",2014-07-29 00:01:00,2014-07-30 23:59:00,3
"214","1104904",2014-07-31 00:01:00,2014-08-01 23:59:00,3
"215","1104905",2014-08-02 00:01:00,2014-08-02 23:59:00,3
"216","1104906",2014-08-03 00:01:00,2014-08-03 23:59:00,3
"217","1104907",2014-08-05 00:01:00,2014-08-05 23:59:00,3
"218","1104908",2014-08-07 00:01:00,2014-08-07 23:59:00,3
"219","1104909",2014-08-09 00:01:00,2014-08-09 23:59:00,3
"220","1104910",2014-08-10 00:01:00,2014-08-11 23:59:00,3
"221","1104911",2014-08-12 00:01:00,2014-08-12 23:59:00,3
"222","1104912",2014-08-16 00:01:00,2014-08-16 23:59:00,3
"223","1104913",2014-10-24 00:01:00,2014-10-25 23:59:00,3
"224","1104914",2014-10-27 00:01:00,2014-10-27 23:59:00,3
"225","1104915",2014-10-29 00:01:00,2014-10-30 23:59:00,3
"226","1104916",2014-10-31 00:01:00,2014-10-31 23:59:00,3
"227","1104917",2014-11-01 00:01:00,2014-11-02 22:59:00,3
"228","1104918",2014-11-02 00:01:00,2014-11-04 23:59:00,3
"229","1104919",2014-12-16 00:01:00,2014-12-18 23:59:00,3
"230","1104920",2014-12-21 00:01:00,2014-12-24 23:59:00,3
"231","1104921",2014-12-27 00:01:00,2014-12-30 23:59:00,3
"232","1104922",2014-01-06 00:01:00,2014-01-08 23:59:00,15
"233","1104923",2014-01-14 00:01:00,2014-01-17 23:59:00,15
"234","1104924",2014-01-20 00:01:00,2014-01-22 23:59:00,15
"235","1104925",2014-01-28 00:01:00,2014-01-31 23:59:00,15
